fold,doc_offset,corpus_span,corpus_ent_type,error_type,correct_span,correct_ent_type,notes
test,41,"[674, 682): 'Sporting'",ORG,Span,"[674, 688): 'Sporting Gijon'",ORG,
test,42,"[19, 24): 'SPAIN'",LOC,Tag,"[19, 24): 'SPAIN'",ORG,Soccer team
test,42,"[86, 91): 'Spain'",LOC,Tag,"[86, 91): 'Spain'",ORG,Soccer team
test,44,"[260, 268): 'Mercedes'",MISC,Tag,"[260, 268): 'Mercedes'",ORG,brand
test,45,"[1361, 1366): 'Czech'",LOC,Tag,"[1361, 1366): 'Czech'",MIC,
test,49,"[31, 39): 'S.AFRICA'",MISC,Tag,"[31, 39): 'S.AFRICA'",LOC,
test,49,"[57, 63): 'DURBAN'",PER,Tag,"[57, 63): 'DURBAN'",LOC,city
test,50,"[1083, 1093): 'Communists'",MISC,Tag,"[1083, 1093): 'Communists'",ORG,Communist party
test,50,"[1262, 1267): 'Czech'",LOC,Tag,"[1262, 1267): 'Czech'",MISC,
test,50,"[1838, 1843): 'Czech'",LOC,Tag,"[1838, 1843): 'Czech'",MISC,
test,50,"[190, 195): 'Czech'",LOC,Tag,"[190, 195): 'Czech'",MISC,
test,50,"[93, 98): 'Czech'",LOC,Tag,"[93, 98): 'Czech'",MISC,
test,52,"[1006, 1011): 'Czech'",LOC,Tag,"[1006, 1011): 'Czech'",MISC,
test,52,"[1400, 1405): 'Czech'",LOC,Tag,"[1400, 1405): 'Czech'",MISC,
test,52,"[766, 771): 'Czech'",LOC,Tag,"[766, 771): 'Czech'",MISC,
test,53,"[1020, 1024): 'Nazi'",MISC,Tag,"[1020, 1024): 'Nazi'",ORG,CHECK: revisit. Should these be combined? I lef them separate to minimize changes
test,54,"[1145, 1152): 'Boxmeer'",PER,Span,"[1141, 1152): 'van Boxmeer'",PER,
test,54,"[11, 27): 'INTERVIEW-ZYWIEC'",MISC,Token,"[21, 27): 'ZYWIEC'",ORG,
test,54,"[2499, 2504): 'Czech'",LOC,Tag,"[2499, 2504): 'Czech'",MISC,
test,54,"[2594, 2601): 'Boxmeer'",PER,Span,"[2590, 2601): 'van Boxmeer'",PER,
test,54,"[2654, 2659): 'Czech'",LOC,Tag,"[2654, 2659): 'Czech'",MISC,
test,54,"[2903, 2908): 'Czech'",LOC,Tag,"[2903, 2908): 'Czech'",MISC,
test,54,"[3231, 3241): 'Full Light'",MISC,Tag,"[3231, 3241): 'Full Light'",ORG,Brand of beer
test,54,"[3421, 3428): 'Boxmeer'",PER,Span,"[3417, 3428): 'van Boxmeer'",PER,
test,55,"[129, 134): 'Czech'",LOC,Tag,"[129, 134): 'Czech'",MISC,
test,56,"[11, 16): 'UK-US'",MISC,Token,"[11, 13): 'UK'",LOC,
test,56,"[11, 16): 'UK-US'",MISC,Token,"[14, 16): 'US'",LOC,
test,61,,,Missing,"[11, 14): 'Med'",MISC,"Abbreviation for ""Mediterranean"""
test,61,,,Missing,"[1550, 1553): 'Med'",MISC,"Short for ""Mediterranean"""
test,61,"[395, 400): 'Genoa'",ORG,Tag,"[395, 400): 'Genoa'",LOC,
test,61,,,Missing,"[79, 92): 'Mediterranean'",MISC,
test,61,,,Missing,"[898, 901): 'Med'",MISC,"Abbreviation for ""Mediterranean"""
test,63,"[148, 160): 'Conservative'",MISC,Tag,"[148, 160): 'Conservative'",ORG,political party
test,63,"[19, 39): 'office-Conservatives'",MISC,Token,"[26, 39): 'Conservatives'",ORG,political party
test,67,"[682, 690): 'Manitoba'",ORG,Tag,"[682, 690): 'Manitoba'",LOC,
test,67,"[740, 748): 'Manitoba'",ORG,Tag,"[740, 748): 'Manitoba'",LOC,
test,68,"[11, 19): 'Canadian'",MISC,Span,"[11, 30): 'Canadian West Coast'",LOC,"Ambiguous: Could be two entities (""Canadian"" and ""West Coast"")"
test,68,"[157, 165): 'Canadian'",MISC,Span,"[157, 176): 'Canadian West Coast'",LOC,"Ambiguous: Could be two entities (""Canadian"" and ""West Coast"")"
test,68,,,Missing,"[166, 176): 'West Coast'",LOC,"Corpus *does* flag ""Canadian"" as MISC"
test,68,,,Missing,"[20, 30): ' West Coast'",LOC,abstract ``places'' (e.g. {\it the free world})
test,68,,,Missing,"[224, 234): 'West Coast'",LOC,
test,68,,,Missing,"[335, 345): 'East Coast'",LOC,
test,68,,,Missing,"[48, 51): 'CWB'",ORG,Canadian Wheat Board
test,70,"[177, 197): 'New York Commodities'",ORG,Span,"[177, 202): 'New York Commodities Desk'",ORG,"""Desk"" is capitalized"
test,71,"[153, 173): 'New York Commodities'",ORG,Span,"[153, 178): 'New York Commodities Desk'",ORG,"""Desk"" is capitalized"
test,71,,,Missing,"[89, 107): 'WESTERN HEMISPHERE'",LOC,Example in training set of exactly the same entity tagged LOC
test,72,"[154, 167): 'MEDITERRANEAN'",MISC,Tag,"[154, 167): 'MEDITERRANEAN'",LOC,
test,72,"[288, 294): 'Bajaia'",LOC,Tag,"[288, 294): 'Bajaia'",ORG,company? 
test,72,,,Missing,"[78, 85): 'MIDEAST'",LOC,
test,73,"[11, 14): 'NYC'",MISC,Tag,"[11, 14): 'NYC'",LOC,
test,75,"[1438, 1444): 'Busang'",ORG,Tag,"[1438, 1444): 'Busang'",LOC,
test,75,"[1438, 1444): 'Busang'",ORG,Span,"[1438, 1444): 'Busang'",,Indonesia'sÊBusangÊvast gold deposit
test,75,"[2736, 2752): 'Newmont-Santa Fe'",MISC,Token,"[2736, 2743): 'Newmont'",ORG,Token error between two companies in a deal
test,75,"[2736, 2752): 'Newmont-Santa Fe'",MISC,Token,"[2744, 2752): 'Santa Fe'",ORG,Token error between two companies in a deal
test,75,"[2890, 2898): 'Santa Fe'",LOC,Tag,"[2890, 2898): 'Santa Fe'",ORG,
test,75,"[36, 44): 'Santa Fe'",LOC,Tag,"[36, 44): 'Santa Fe'",ORG,Santa fe mining co.
test,78,,,Missing,"[3425, 3431): 'Masisi'",LOC,
test,82,"[1178, 1184): 'Yakoma'",MISC,Tag,"[1178, 1184): 'Yakoma'",ORG,Tribe name 
test,87,,,Missing,"[148, 159): 'Polish-born'",MISC,
test,88,,,Missing,"[1628, 1637): 'Far North'",LOC,
test,90,"[1129, 1140): 'Warsaw Pact'",MISC,Tag,"[1129, 1140): 'Warsaw Pact'",ORG,
test,93,,,Missing,"[502, 509): 'Ottoman'",MISC,"Treat ""Ottoman"" and ""Turkish"" as two separate MISC entities"
test,93,"[510, 517): 'Turkish' 	",,Span,"[502, 517): 'Ottoman Turkish'",MISC,"""Ottoman turkey"" is an entity "
test,94,"[331, 339): 'Budapest'",LOC,Span,"[331, 339): 'Budapest Bank’s'",ORG,bank name
test,94,"[331, 339): 'Budapest'",LOC,Both,"[331, 344): 'Budapest Bank'",ORG,
test,95,"[1656, 1665): 'Santander'",LOC,Tag,"[1656, 1665): 'Santander'",ORG,
test,100,"[56, 64): 'SANTIAGO'",PER,Tag,"[56, 64): 'SANTIAGO'",LOC,
test,100,"[941, 948): 'Chilean'",MISC,Both,"[941, 957): 'Chilean Congress'",ORG,
test,100,,,Missing,"[949, 957): 'Congress'",ORG,
test,100,,,Missing,"[987, 995): 'Congress'",ORG,
test,103,"[193, 220): 'Ranyon (Rangoon) University'",ORG,Tag,"[193, 220): 'Ranyon (Rangoon) University'",LOC,"""a suburban road junction near the Ranyon (Rangoon) University"""
test,103,"[794, 812): 'Rangoon University'",ORG,Tag,"[794, 812): 'Rangoon University'",LOC,
test,105,,,Missing,"[740, 748): 'Hansenne'",PER,
test,108,"[1510, 1527): 'Christian-Shi'ite'",MISC,Span,"[1510, 1534): 'Christian-Shi'ite Moslem'",MISC,all describes one force of people
test,108,"[59, 75): 'Haitham Haddadin'",ORG,Tag,"[59, 75): 'Haitham Haddadin'",PER,
test,108,"[1528, 1534): 'Moslem'",Misc,Wrong,,,
test,112,"[1560, 1581): 'U.S. Court of Appeals'",ORG,Span,"[1547, 1581): '11th Circuit U.S. Court of Appeals'",,
test,112,"[174, 184): 'John Mills'",PER,Sentence,"[174, 188): 'John Mills Jr.'",PER,"Wrong span, and incorrect sentence boundary after ""Jr."""
test,114,"[11, 17): 'Iowa-S'",LOC,Token,"[11, 15): 'Iowa'",LOC,split on ‘-’
test,114,"[18, 22): 'Minn'",LOC,Token,"[16, 22): 'S Minn'",LOC,
test,114,"[51, 61): 'sales-USDA'",MISC,Token,"[57, 61): 'USDA'",ORG,
test,115,"[326, 341): 'Outagmie County'",LOC,Both,"[326, 355): 'Outagmie County Circuit Court'",ORG,
test,115,,,Missing,"[459, 465): 'Luebke'",PER,
test,117,,,Missing,"[1270, 1273): 'Hub'",LOC,Henry Hub
test,117,,,Missing,"[2227, 2236): 'Southwest'",LOC,
test,118,"[127, 136): 'St. Louis'",LOC,Both,"[127, 155): 'St. Louis Merchants Exchange'",ORG,"A building in St. Louis. However it is also a company, and we believe that in this case it is the company being referred to "
test,118,"[535, 550): 'mid-Mississippi'",MISC,Tag,"[535, 550): 'mid-Mississippi'",LOC,
test,118,"[552, 560): 'McGregor'",PER,Tag,"[552, 560): 'McGregor'",LOC,
test,118,"[776, 791): 'mid-Mississippi'",MISC,Tag,"[776, 791): 'mid-Mississippi'",LOC,
test,121,,,Missing,"[11, 29): 'Action Performance'",ORG,
test,122,"[273, 286): 'United States'",LOC,Both,"[251, 286): 'Human Society of the United States'",ORG,
test,122,"[522, 545): 'Glencoe Animal Hospital'",ORG,Tag,"[522, 545): 'Glencoe Animal Hospital'",LOC,specific hospitol
test,123,"[11, 17): 'Iowa-S'",LOC,Token,"[11, 15): 'Iowa'",LOC,split on '-'
test,123,"[18, 22): 'Minn'",LOC,Token,"[16, 22): 'S Minn'",LOC,
test,125,"[71, 85): 'UNITED NATIONS'",ORG,Tag,"[71, 85): 'UNITED NATIONS'",LOC,"""UNITED NATIONS"" in dateline of article, indicating United Nations Building in New York City"
test,127,"[528, 531): 'RAI'",LOC,Tag,"[528, 531): 'RAI'",ORG,state radioÊRAI
test,130,"[389, 395): 'Europe'",LOC,Both,"[389, 405): 'Europe Agreement'",MISC,
test,131,,,Missing,"[449, 454): 'Babri'",LOC,the Babri mosque
test,131,,,Missing,"[449, 461): 'Babri mosque'",LOC,https://en.wikipedia.org/wiki/Babri_Masjid
test,134,"[62, 73): 'Lantau Peak'",MISC,Tag,"[62, 73): 'Lantau Peak'",LOC,??? def a peak
test,136,"[647, 657): 'Treasuries'",MISC,Wrong,,,"??? ""Returns on Treasuries"".. talking about investments but is capitolized"
test,137,"[313, 324): 'Bonny Light'",MISC,Tag,"[313, 324): 'Bonny Light'",ORG,brand? 
test,137,"[341, 354): 'Arabian Light'",MISC,Tag,"[341, 354): 'Arabian Light'",ORG,Brand? 
test,140,,,Missing,"[1565, 1581): 'Arafat-Netanyahu'",MISC,"It's an adjective used to describe the relation/time period between 2 people, hence the tag is MISC"
test,142,"[342, 348): 'Kesers'",PER,Tag,"[342, 348): 'Kesers'",ORG,Two rival clans 
test,142,"[353, 363): 'Karabuluts'",PER,Tag,"[353, 363): 'Karabuluts'",ORG,Clan name 
test,146,"[11, 17): 'ACCESS'",MISC,Tag,"[11, 17): 'ACCESS'",ORG,Short fo NYMEX ACCESS
test,146,"[143, 155): 'NYMEX ACCESS'",MISC,Tag,"[143, 155): 'NYMEX ACCESS'",ORG,Stock market 
test,146,"[62, 73): 'LOS ANGELES'",ORG,Tag,"[62, 73): 'LOS ANGELES'",LOC,
test,146,"[632, 638): 'ACCESS'",MISC,Tag,"[632, 638): 'ACCESS'",ORG,Short fo NYMEX ACCESS
test,148,"[314, 335): 'St Pius X High School'",ORG,Tag,"[314, 335): 'St Pius X High School'",LOC,specific high school in abq
test,149,"[1504, 1520): 'Consumer Project'",PER,Both,"[1504, 1534): 'Consumer Project on Technology'",ORG,
test,149,,,Missing,"[2650, 2653): 'Net'",MISC,"Capitalized and short for ""Internet"", which is tagged MISC throughout this document"
test,149,,,Missing,"[902, 909): 'Western'",MISC,
test,149,"[2233, 2241): 'Internet'",MISC,Wrong,,,
test,149,"[3687, 3694): 'Network'",MISC,Wrong,,,
test,149,"[2894, 2902): 'Internet'",MISC,Wrong,,,
test,149,"[3340, 3348): 'Internet'",MISC,Wrong,,,
test,149,"[1100, 1108): 'Internet'",MISC,Wrong,,,
test,149,"[155, 163): 'Internet'",MISC,Wrong,,,
test,149,"[2448, 2456): 'Internet'",MISC,Wrong,,,
test,149,"[3905, 3913): 'Internet'",MISC,Wrong,,,
test,149,"[3516, 3524): 'Internet'",MISC,Wrong,,,
test,149,"[3240, 3248): 'Internet'",MISC,Wrong,,,
test,152,"[1035, 1041): 'League'",LOC,Tag,"[1035, 1041): 'League'",ORG,Zach: short for a political group; Fred: Northern League
test,152,"[1487, 1489): 'Po'",LOC,Span,"[1487, 1495): 'Po River'",LOC,
test,152,,,Missing,"[321, 327): 'Mantua'",LOC,
test,152,,,Missing,"[61, 67): 'MANTUA'",LOC,
test,152,"[556, 559): 'Let'",LOC,Wrong,,,
test,153,,,Missing,"[21, 31): 'Radiometer'",ORG,
test,153,"[229, 238): 'Wednesday'",ORG,Wrong,,,
test,155,"[423, 430): 'Antwerp'",ORG,Tag,"[423, 430): 'Antwerp'",LOC,
test,155,"[776, 783): 'Antwerp'",ORG,Tag,"[776, 783): 'Antwerp'",LOC,
test,158,"[69, 79): 'Muenchener'",MISC,Tag,"[69, 101): 'Muenchener Rueckversicherungs AG'",ORG,
test,158,"[80, 101): 'Rueckversicherungs AG'  ",ORG,Span,"[69, 101): 'Muenchener Rueckversicherungs AG'",,insurance company
test,158,"[69, 79): 'Muenchener'",MISC,Wrong,,,
test,161,"[11, 24): 'John Lewis UK'",ORG,Span,"[11, 21): 'John Lewis'",ORG,John Lewis Partnership is a company that owns some stores in the UK
test,161,,,Missing,"[22, 24): 'UK'",LOC,John Lewis Partnership is a company that owns some stores in the UK
test,161,"[76, 86): 'John Lewis'",PER,Both,"[76, 98): 'John Lewis Partnership'",ORG,
test,163,"[121, 133): 'Conservative'",MISC,Tag,"[121, 133): 'Conservative'",ORG,political party
test,163,,,Missing,"[411, 424): 'Conservatives'",ORG,Conservative Party
test,163,"[411, 424): 'Conservatives'  ",,Missing,,ORG,political party
test,166,"[28, 32): 'Nats'",PER,Tag,"[28, 32): 'Nats'",ORG,National party
test,166,"[41, 43): 'NZ'",LOC,Both,"[41, 49): 'NZ First'",ORG,Political party
test,167,"[28, 31): 'Nat'",PER,Tag,"[28, 31): 'Nat'",ORG,New Zealand National Party
test,167,"[33, 36): 'Lab'",PER,Tag,"[33, 36): 'Lab'",ORG,New Zealand Labour Party
test,168,,,Missing,"[1023, 1028): 'Labor'",ORG,Reference to Australian Labor Party
test,168,"[1040, 1046): 'Fraser'",PER,Tag,"[1040, 1046): 'Fraser'",LOC,"""the electoral division of Fraser in the Australian Capital Territory""; https://en.wikipedia.org/wiki/Fraser,_Australian_Capital_Territory"
test,168,"[1346, 1354): 'Canberra'",LOC,Both,"[1346, 1361): 'Canberra Bureau'",ORG,"Capital ""B"" on ""Bureau"""
test,168,"[429, 435): 'Fraser'",PER,Tag,"[429, 435): 'Fraser'",LOC,
test,168,"[443, 471): 'Australian Capital Territory'",MISC,Tag,"[443, 471): 'Australian Capital Territory'",LOC,
test,170,"[321, 329): 'Seagramd'",MISC,Span,"[321, 333): 'Seagramd ace'",MISC,"full vessel name, Ace should prob be cap"
test,170,"[627, 634): 'Bangkok'",MISC,Tag,"[627, 634): 'Bangkok'",LOC,
test,173,,,Missing,"[278, 289): 'Port Office'",ORG,
test,176,,,Missing,"[2024, 2032): 'Ministry'",ORG,
test,176,,,Missing,"[2276, 2284): 'Ministry'",ORG,"Reference to the Indonesian Mines and Energy Ministry. Single-word, but capitalized ""M"""
test,176,"[2419, 2425): 'Busang'",ORG,Tag,"[2419, 2425): 'Busang'",LOC,Location of gold mine
test,176,"[2732, 2738): 'Busang'",ORG,Tag,"[2732, 2738): 'Busang'",LOC,Location of gold mine 
test,176,"[2779, 2794): 'PT Panutan Duta'",PER,Tag,"[2779, 2794): 'PT Panutan Duta'",ORG,"""PT"" == LLC in Indonesia"
test,176,"[2887, 2894): 'Panutan'",PER,Tag,"[2887, 2894): 'Panutan'",ORG,
test,176,"[2960, 2966): 'Busang'",ORG,Tag,"[2960, 2966): 'Busang'",LOC,
test,176,"[57, 67): 'K.T. Arasu'",LOC,Tag,"[57, 67): 'K.T. Arasu'",PER,
test,177,"[11, 19): 'Honda RV'",MISC,Both,"[11, 16): 'Honda'",ORG,"""Honda"" is a brand of car. ""RV"" is a reference to the S-MX recreational vehicle in generic terms."
test,178,"[1787, 1794): 'Uruguay'",LOC,Both,"[1787, 1800): 'Uruguay Round'",MISC,
test,178,,,Missing,"[2272, 2276): 'West'",LOC,"""the West"""
test,178,"[951, 960): 'then-U.S.'",MISC,Token,"[956, 960): 'U.S.'",LOC,
test,179,,,Missing,"[594, 622): 'Posts and Telecommunications'",ORG,Japanese government ministry
test,180,"[216, 220): 'BILO'",MISC,Tag,"[216, 220): 'BILO'",ORG,??? chain of discount stores
test,180,"[259, 263): 'BILO'",MISC,Tag,"[259, 263): 'BILO'",ORG,A store chain 
test,180,"[395, 399): 'BILO'",MISC,Tag,"[395, 399): 'BILO'",ORG,Store chain 
test,180,"[450, 454): 'TOPS'",MISC,Tag,"[450, 454): 'TOPS'",ORG,Brand
test,180,"[579, 583): 'TOPS'",MISC,Tag,"[579, 583): 'TOPS'",ORG,
test,180,"[588, 592): 'BILO'",MISC,Tag,"[588, 592): 'BILO'",ORG,Brand
test,183,"[18, 35): 'SKIING-GLADISHIVA'",MISC,Token,"[25, 35): 'GLADISHIVA'",PER,
test,184,"[394, 398): 'LPGA'",ORG,Both,"[394, 404): 'LPGA Tours'",MISC,
test,184,"[633, 637): 'U.S.'",LOC,Both,"[633, 645): 'U.S. Amateur'",MISC,United States Amateur Championship
test,186,"[1284, 1291): 'Masnada'",PER,Span,"[1275, 1291): 'Florence Masnada'",PER,
test,186,"[1398, 1409): 'Austria)118'",,Token,"[1398, 1405): 'Austria'",LOC,Token and Missing 
test,186,"[432, 446): 'Ingeborg Helen'",PER,Span,"[432, 454): 'Ingeborg Helen Markein'",PER,
test,186,"[542, 549): 'Masnada'",PER,Span,"[533, 549): 'Florence Masnada'",PER,
test,186,"[1607, 1614): 'Super G'",MISC,Wrong,,,Generic reference to a skiing event
test,186,"[533, 541): 'Florence'",LOC,Wrong,,,
test,186,"[1275, 1283): 'Florence'",LOC,Wrong,,,
test,186,"[533, 541): 'Florence'",,Wrong,,,
test,187,"[1173, 1179): 'Germay'",,Missing,"[1173, 1179): 'Germay'",LOC ,Misspelling of Germany
test,187,,,Missing,"[1173, 1179): 'Germay'",LOC,
test,188,"[18, 34): 'SKIING-WORLD CUP'",MISC,Token,"[25, 34): 'WORLD CUP'",MISC,
test,190,"[11, 27): 'BOBSLEIGH-SHIMER'",MISC,Token,"[21, 27): 'SHIMER'",PER,"Tokenizer treated ""BOBSLEIGH-SHIMER"" as a single token"
test,190,"[440, 445): 'Italy'",LOC,Both,"[440, 447): 'Italy I'",ORG,Bobsleigh team
test,191,"[11, 25): 'SKIING-CHINESE'",MISC,Token,"[18, 25): 'CHINESE'",LOC,
test,192,"[11, 30): 'BOBSLEIGH-WORLD CUP'",MISC,Token,"[21, 30): 'WORLD CUP'",,
test,192,"[808, 815): 'Garrett'",PER,Sentence,"[808, 821): 'Garrett Hines'",PER,
test,194,"[21, 37): 'SKIING-WORLD CUP'",MISC,Token,"[28, 37): 'WORLD CUP'",,
test,199,"[108, 124): 'Scottish premier'",MISC,Span,"[108, 116): 'Scottish'",MISC,Divisions of leagues not considered entities
test,199,"[27, 52): 'SCOTTISH PREMIER DIVISION'",MISC,Span,"[27, 35): 'SCOTTISH'",MISC,Divisions of leagues not considered entities
test,199,"[484, 490): 'Robert'",PER,Sentence,"[484, 498): 'Robert Winters'",PER,
test,200,"[282, 287): 'Aston'",ORG,Sentence,"[282, 293): 'Aston Villa'",ORG,
test,200,"[335, 344): 'Wimbledon'",LOC,Tag,"[335, 344): 'Wimbledon'",ORG,Football (soccer) team 
test,200,"[390, 399): 'Wimbledon'",LOC,Tag,"[390, 399): 'Wimbledon'",ORG,
test,200,"[445, 454): 'Wimbledon'",LOC,Tag,"[445, 454): 'Wimbledon'",ORG,
test,200,"[479, 484): 'Chris'",PER,Sentence,"[479, 491): 'Chris Sutton'",PER,
test,202,,,Missing,"[24, 31): 'BRITISH'",MISC,
test,202,"[11, 22): 'RUGBY UNION'",ORG,Wrong,,,https://en.wikipedia.org/wiki/Rugby_union
test,203,,,Missing,"[214, 221): 'Windass'",PER,
test,204,"[283, 290): 'Wallaby'",ORG,Tag,"[283, 290): 'Wallaby'",MISC,"""aï¿½Wallabyï¿½jersey"" --> Team name as adjective"
test,204,,,Missing,"[717, 725): 'Super 12'",MISC,https://en.wikipedia.org/wiki/Super_Rugby
test,205,"[627, 636): 'Wimbledon'",LOC,Tag,"[627, 636): 'Wimbledon'",ORG,Soccer team
test,207,"[1041, 1047): 'Oxford'",LOC,Tag,"[1041, 1047): 'Oxford'",ORG,Soccer team
test,207,"[1304, 1314): 'Portsmouth'",LOC,Tag,"[1304, 1314): 'Portsmouth'",ORG,Soccer team
test,209,"[384, 388): 'East'",ORG,Sentence,"[384, 393): 'East Fife'",ORG,
test,211,"[54, 61): 'WALLABY'",LOC,Tag,"[54, 61): 'WALLABY'",ORG,
test,211,"[11, 22): 'RUGBY UNION'",ORG,Wrong,,,Generic name of a sport
test,213,"[451, 455): 'Mark'",PER,Sentence,"[451, 463): 'Mark Murless'",PER,
test,213,"[510, 524): 'Schalk van der'",PER,Sentence,"[510, 530): 'Schalk van der Merwe'",PER,
test,213,"[696, 700): 'Dion'",PER,Sentence,"[696, 707): 'Dion Fourie'",PER,
test,214,"[243, 262): 'Saturday'sWorld Cup'",MISC,Token,"[253, 262): 'World Cup'",MISC,"Tokenizer treated ""Saturday'sWorld"" as a single token"
test,214,"[292, 308): 'Northern Ireland'",LOC,Tag,"[292, 308): 'Northern Ireland'",ORG,Soccer team
test,214,"[30, 37): 'ALBANIA'",LOC,Tag,"[30, 37): 'ALBANIA'",ORG,Team
test,214,"[351, 358): 'Albania'",LOC,Tag,"[351, 358): 'Albania'",ORG,Soccer team
test,214,"[474, 481): 'Albania'",LOC,Tag,"[474, 481): 'Albania'",ORG,Soccer team
test,214,"[58, 67): 'N.IRELAND'",LOC,Tag,"[58, 67): 'N.IRELAND'",ORG,Soccer team
test,215,"[1035, 1043): 'Victoria'",LOC,Tag,"[1035, 1043): 'Victoria'",ORG,Cricket team
test,215,"[161, 169): 'Victoria'",LOC,Tag,"[161, 169): 'Victoria'",ORG,Cricket team
test,215,"[310, 318): 'Victoria'",LOC,Tag,"[310, 318): 'Victoria'",ORG,Cricket team
test,215,"[987, 991): 'Pace'",PER,Wrong,,,https://en.wikipedia.org/wiki/Pace_bowling
test,216,"[20, 36): 'SHEFFIELD SHIELD'",MISC,Tag,"[20, 36): 'SHEFFIELD SHIELD'",ORG,
test,217,"[1024, 1033): 'Indonesia'",LOC,Tag,"[1024, 1033): 'Indonesia'",ORG,Soccer team
test,217,"[1182, 1191): 'Indonesia'",LOC,Tag,"[1182, 1191): 'Indonesia'",ORG,Soccer team
test,217,"[1246, 1252): 'Kuwait'",LOC,Tag,"[1246, 1252): 'Kuwait'",ORG,Soccer team
test,217,"[1723, 1734): 'South Korea'",LOC,Tag,"[1723, 1734): 'South Korea'",ORG,Soccer team
test,217,"[177, 186): 'Indonesia'",LOC,Tag,"[177, 186): 'Indonesia'",ORG,Soccer team
test,217,"[19, 30): 'SOUTH KOREA'",LOC,Tag,"[19, 30): 'SOUTH KOREA'",ORG,
test,217,"[263, 274): 'South Korea'",LOC,Tag,"[263, 274): 'South Korea'",ORG,Soccer team
test,217,"[283, 292): 'Indonesia'",LOC,Tag,"[283, 292): 'Indonesia'",ORG,Soccer team
test,217,"[87, 98): 'South Korea'",LOC,Tag,"[87, 98): 'South Korea'",ORG,Soccer team
test,218,"[865, 877): 'Ironi Rishon'",ORG,Span,"[865, 884): 'Ironi Rishon Lezion'",ORG,
test,219,"[109, 129): 'United Arab Emirates'",LOC,Tag,"[109, 129): 'United Arab Emirates'",ORG,
test,219,"[132, 138): 'Kuwait'",LOC,Tag,"[132, 138): 'Kuwait'",ORG,Soccer team
test,219,"[165, 168): 'UAE'",LOC,Tag,"[165, 168): 'UAE'",ORG,Soccer team
test,219,"[223, 229): 'Kuwait'",LOC,Tag,"[223, 229): 'Kuwait'",ORG,Soccer team
test,219,"[274, 285): 'South Korea'",LOC,Tag,"[274, 285): 'South Korea'",ORG,Soccer team
test,219,"[288, 297): 'Indonesia'",LOC,Tag,"[288, 297): 'Indonesia'",ORG,Soccer team
test,219,"[315, 326): 'South Korea'",LOC,Tag,"[315, 326): 'South Korea'",ORG,Soccer team
test,219,"[372, 381): 'Jeon Woon'",PER,Sentence,"[368, 381): 'Koo Jeon Woon'",PER,
test,219,"[385, 394): 'Indonesia'",LOC,Tag,"[385, 394): 'Indonesia'",ORG,Soccer team
test,219,"[536, 547): 'South Korea'",LOC,Tag,"[536, 547): 'South Korea'",ORG,Soccer team
test,219,"[562, 565): 'UAE'",LOC,Tag,"[562, 565): 'UAE'",ORG,
test,219,"[580, 586): 'Kuwait'",LOC,Tag,"[580, 586): 'Kuwait'",ORG,team
test,219,"[601, 610): 'Indonesia'",LOC,Tag,"[601, 610): 'Indonesia'",ORG,Soccer team
test,220,"[1072, 1079): 'ATLANTA'",LOC,Tag,"[1072, 1079): 'ATLANTA'",ORG,Team
test,220,"[1203, 1210): 'HOUSTON'",LOC,Tag,"[1203, 1210): 'HOUSTON'",ORG,team
test,220,"[76, 95): 'National Basketball'",ORG,Sentence,"[76, 107): 'National Basketball Association'",ORG,"Sentence boundary between ""Basketball"" and ""Association"""
test,220,"[101, 123): 'Basketball Association'",ORG,Sentence,"[92, 123): 'National Basketball Association'",ORG,
test,220,"[415, 431): 'CENTRAL DIVISION'",MISC,Wrong,,,Divisions of leagues not considered entities
test,221,"[76, 95): 'National Basketball'",ORG,Sentence,"[76, 107): 'National Basketball Association'",ORG,
test,222,"[1108, 1118): 'NEW JERSEY'",LOC,Tag,"[1108, 1118): 'NEW JERSEY'",ORG,Hockey team
test,222,"[1130, 1136): 'BOSTON'",LOC,Tag,"[1130, 1136): 'BOSTON'",ORG,Hockey team
test,222,"[1148, 1156): 'HARTFORD'",LOC,Tag,"[1148, 1156): 'HARTFORD'",ORG,Hockey team
test,222,"[1171, 1183): 'NY ISLANDERS'",LOC,Tag,"[1171, 1183): 'NY ISLANDERS'",ORG,Hockey team
test,222,"[1195, 1203): 'MONTREAL'",LOC,Tag,"[1195, 1203): 'MONTREAL'",ORG,Hockey team
test,222,"[1218, 1225): 'TORONTO'",LOC,Tag,"[1218, 1225): 'TORONTO'",ORG,Hockey team
test,222,"[1237, 1247): 'PITTSBURGH'",LOC,Tag,"[1237, 1247): 'PITTSBURGH'",ORG,Hockey team
test,222,"[1260, 1271): 'LOS ANGELES'",LOC,Tag,"[1260, 1271): 'LOS ANGELES'",ORG,Hockey team
test,222,"[1285, 1293): 'SAN JOSE'",LOC,Tag,"[1285, 1293): 'SAN JOSE'",ORG,team
test,222,"[1304, 1313): 'VANCOUVER'",LOC,Tag,"[1304, 1313): 'VANCOUVER'",ORG,Hockey team
test,222,"[92, 107): 'National Hockey'",ORG,Sentence,"[92, 114): 'National Hockey League'",MISC,Sports leagues are listed under MISC in the rubric
test,223,"[231, 243): 'Philadelphia'",LOC,Tag,"[231, 243): 'Philadelphia'",ORG,Hockey team
test,223,"[246, 252): 'DALLAS'",LOC,Tag,"[246, 252): 'DALLAS'",ORG,Hockey team
